,Unnamed: 0,Position,Track Name,Artist,Streams,date,region,spotify_id,featured-artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,release_date
10058,10058,59,Blue Christmas,Elvis Presley,11774400,2019-12-20--2019-12-27,global,3QiAAp20rPC3dcAtKtMaqQ,,0.902,0.465,0.27,0.0010400000000000001,0.145,-16.660999999999998,0.0425,94.51899999999999,0.58,58,1957-10-15
9843,9843,44,Golden,Harry Styles,11762304,2019-12-13--2019-12-20,global,45S5WTQEGOB1VHr1Q4FuPl,,0.21,0.44799999999999995,0.838,0.000131,0.131,-5.257000000000001,0.0557,139.863,0.254,79,2019-12-13
1042,1042,43,Desconocidos,Mau y Ricky,11759133,2019-02-08--2019-02-15,global,0s5DNDV6LAKn2u2Ufa3VjQ,"Manuel Turizo, Camilo",0.146,0.7090000000000001,0.7709999999999999,3.29e-06,0.249,-4.598,0.166,174.00599999999997,0.7090000000000001,76,2018-10-12
7434,7434,35,110,Capital Bra,11726688,2019-09-20--2019-09-27,global,5sdQ7VUx6GOfsRoSxnK1YG,"Samra, LEA",0.5329999999999999,0.48,0.7490000000000001,0.0,0.0997,-5.0569999999999995,0.43200000000000005,179.05599999999998,0.419,72,2019-09-19
836,836,37,Nights Like This (feat. Ty Dolla $ign),Kehlani,11568466,2019-02-01--2019-02-08,global,7e4KQkp5ZR1gXCAalRjX6B,Ty Dolla $ign,0.36700000000000005,0.61,0.725,0.0,0.154,-5.131,0.15,146.16299999999998,0.29100000000000004,10,2019-01-10
5441,5441,42,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,11553707,2019-07-12--2019-07-19,global,2qRN7PWiHRLprw4FpDeI9N,"Paulo Londra, Dave",0.33299999999999996,0.747,0.649,0.0,0.172,-6.218,0.21899999999999997,88.01100000000001,0.84,70,2019-07-12
9032,9032,33,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,11458619,2019-11-15--2019-11-22,global,3i9UVldZOE0aD0JnyfAZZ0,Shawn Mendes,0.433,0.44799999999999995,0.603,0.0,0.0862,-7.176,0.064,205.27200000000002,0.42200000000000004,81,2019-11-13
10061,10061,62,Santa Claus Is Coming To Town,The Jackson 5,11436731,2019-12-20--2019-12-27,global,4rMWDm28mERZcRPc1f3yir,,0.27699999999999997,0.696,0.564,0.00035299999999999996,0.133,-10.802999999999999,0.0371,146.709,0.932,45,1970-01-01
4435,4435,36,Rescue Me,OneRepublic,11420849,2019-06-07--2019-06-14,global,0mjAU3yKR1QnXnHtjGJqTM,,0.156,0.759,0.605,0.0,0.6940000000000001,-7.737,0.0433,121.04899999999999,0.64,84,2019-05-17
9844,9844,45,Cherry,Harry Styles,11371850,2019-12-13--2019-12-20,global,2IOFZdYYkFxEHVz1w34PoL,,0.615,0.53,0.512,0.004529999999999999,0.129,-9.261000000000001,0.0259,95.946,0.41100000000000003,78,2019-12-13
8632,8632,33,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,11338485,2019-11-01--2019-11-08,global,56AMYGJzxBO6p8v0wEe9de,"Travis Scott, Gunna",0.188,0.845,0.631,0.0,0.0806,-8.206,0.21600000000000003,111.98299999999999,0.545,79,2019-11-01
2643,2643,44,lovely,Billie Eilish,11328343,2019-04-05--2019-04-12,global,1NJcg626wLln4pGHpiV7mf,Khalid,0.934,0.35100000000000003,0.29600000000000004,0.0,0.095,-10.109,0.0333,115.28399999999999,0.12,53,2017-08-11
6641,6641,42,Death By A Thousand Cuts,Taylor Swift,11318503,2019-08-23--2019-08-30,global,2dgFqt3w9xIQRjhPtwNk3D,,0.45399999999999996,0.7120000000000001,0.732,0.0,0.319,-6.754,0.0629,94.071,0.313,71,2019-08-23
4439,4439,40,Pop Out (feat. Lil Tjay),Polo G,11314759,2019-06-07--2019-06-14,global,6uFn47ACjqYkc0jADwEdj1,Lil Tjay,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,168.112,0.261,83,2019-06-07
9235,9235,36,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,11310793,2019-11-22--2019-11-29,global,07s9NNOT0sZQp7TyolLLgu,"Burna Boy, Ed Sheeran",0.00838,0.8170000000000001,0.7809999999999999,5.21e-06,0.12300000000000001,-4.178,0.11199999999999999,104.0,0.359,51,2019-11-22
